id,source_id
316055e0-b704-43b4-8a2a-abd6c6517d9a,RAR804573
3c634222-9562-4be2-b73e-39e4e2f45a01,BCP670428
2108a9c1-4977-4bae-a6d3-124555ab67d6,CON16486
b9ca117f-ea70-4264-b43a-09adc966da0a,BTWEB959683
956dce47-978d-46e9-b0a6-68d948bcb095,UPS11217-11-17772755
bbc82d1b-d299-463c-bfcf-301f0203f565,FDPFDP9446
31703bda-a72f-476c-b2f4-8113b31518a3,RRFBEL240027
8857fdaa-6937-4481-8fb6-bba44087d0c9,EMC716117-699404
0e83a01b-7fd8-4e22-9727-3a68d50103a8,TRHTRE75187
981bebad-7a8b-4a11-af12-8b3ae823402a,CBF16446
1c11f49d-556f-4e26-acd3-266215aad7ed,PPS784522
